manufacturer,age,training_before[Y/N],gender,body_fat[%],smoking[Y/N],alcohol_times_week,occupation,education,marital_status,kids,location,N sessions/w 1m1w,N sessions/w 1m2w,N sessions/w 1m3w,N sessions/w 1y1w,N sessions/w 1y2w,N sessions/w 1y3w
apple,37,True,F,27,False,2,Clinical cytogeneticist,bachelor,divorced,2,"Unit 9810 Box 7199
DPO AE 98718",5,5,5,4,4,4
apple,19,False,F,29,True,2,,school,single,0,"289 Paul Pike Apt. 939
West Melissaberg, KY 41790",3,4,5,1,1,2
oura,40,True,F,28,False,2,"Buyer, retail",bachelor,single,2,"615 Jason Lodge
Parksstad, HI 38457",3,3,3,3,3,3
garmin,42,False,M,29,False,1,"Accountant, chartered",master,married,3,"0903 Kevin Club Apt. 299
Lindseyborough, DC 89907",2,3,3,2,2,2
xiaomi,22,False,F,39,False,0,"Loss adjuster, chartered",master,divorced,1,"2369 Arnold Mountain Suite 476
Garciachester, GU 33504",3,3,3,2,2,2
sony,34,True,F,16,False,0,Regulatory affairs officer,phd,divorced,0,"0629 Allison Trail Apt. 956
Randyport, AS 47013",3,3,3,3,3,3
apple,26,True,F,15,False,3,Insurance claims handler,bachelor,single,0,"639 Jennifer Corners Suite 086
South Juliahaven, NE 04503",4,3,4,4,3,4
apple,37,False,F,22,False,2,"Teacher, early years/pre",master,single,1,"767 Michael Islands
Dominicview, UT 72502",4,4,4,4,4,4
xiaomi,26,True,F,24,True,1,Wellsite geologist,bachelor,married,2,"PSC 7867, Box 9419
APO AP 79449",3,2,2,3,2,2
apple,36,False,F,27,False,0,Fitness centre manager,phd,married,2,"5619 Jodi Cliff Suite 077
Tamaraland, PA 64815",4,2,2,3,2,2
garmin,61,True,M,11,False,2,"Geneticist, molecular",master,separated,1,"969 Kathryn Center Apt. 382
Brittanymouth, FM 89106",2,2,2,2,2,2
coospo,31,True,M,15,False,1,Insurance underwriter,school,separated,1,"626 Brian Walk
Marcusport, WV 27960",3,3,3,3,3,3
coospo,18,False,M,23,False,0,,school,single,0,"0979 Rios Club Suite 429
East Travis, TX 66519",3,2,2,2,1,1
xiaomi,54,True,F,28,True,2,Learning disability nurse,master,divorced,3,"411 Michael Inlet
Port James, AZ 63522",4,2,3,2,1,2
apple,21,False,F,31,False,0,,school,single,0,"3643 Soto Cliff Apt. 188
South Jacob, TX 03989",3,4,3,2,2,2
garmin,21,True,M,10,False,1,,school,married,0,"57005 Eric Creek Apt. 136
Ayalahaven, ME 01335",2,5,4,2,4,4
fitbit,45,True,F,21,False,0,Magazine journalist,phd,separated,3,"Unit 1753 Box 4571
DPO AP 88625",2,3,2,2,3,2
oura,40,True,F,23,False,0,"Psychologist, occupational",bachelor,divorced,3,"84875 Ramirez Centers
South Danielside, VI 32114",3,4,3,3,4,3
fitbit,53,True,F,25,False,2,Make,master,married,3,"28102 Wright Manor Suite 783
Tristanmouth, NH 60876",3,5,3,3,4,3
oura,26,True,M,15,True,1,Ship broker,bachelor,single,1,"5316 Mclaughlin Station
Woodwardchester, NH 16805",3,3,4,3,3,4
sony,47,True,F,25,True,2,Television camera operator,master,divorced,1,"1515 Amy Trafficway Apt. 844
Cassandraburgh, MO 43417",3,3,3,2,2,2
xiaomi,52,True,M,17,False,1,Social researcher,school,single,3,"7066 Nicole Prairie Apt. 203
Lake Brandy, SD 99308",2,2,2,2,2,2
sony,44,True,F,20,False,1,"Horticulturist, amenity",bachelor,widowed,1,"Unit 9780 Box 2073
DPO AE 18701",4,4,3,4,4,3
coospo,25,True,F,27,False,0,"Scientist, audiological",bachelor,divorced,1,"9620 Hamilton Trace
Payneport, AL 06697",3,3,2,3,3,2
garmin,54,False,M,18,False,1,Medical sales representative,school,single,2,"3056 John Parks Suite 616
Westfort, AL 40007",3,3,4,2,2,3
garmin,25,True,M,14,False,3,Theatre director,bachelor,separated,0,"784 Beverly Mission
Lake Curtismouth, MH 93245",4,4,2,4,4,2
oura,37,True,F,29,False,1,Clinical embryologist,phd,separated,0,"29462 Lee Road Apt. 431
East Claudia, TN 27878",3,3,3,3,3,3
coospo,33,True,F,22,False,2,Research scientist (maths),phd,single,2,"81673 John Center
Weaverview, NV 52388",3,3,3,3,3,3
fitbit,33,True,F,14,False,2,Brewing technologist,master,divorced,0,"028 Wilson Parks Suite 401
Brettfort, UT 06027",3,4,5,3,4,5
apple,54,True,F,29,False,0,Radiation protection practitioner,phd,separated,3,"7217 Osborne Extensions
Erinborough, AZ 26889",3,4,5,2,3,4
coospo,53,True,M,9,False,0,"Civil engineer, consulting",master,married,2,"419 Douglas Roads
New Samanthafurt, MN 13483",4,3,3,4,3,3
huawei,42,True,F,22,False,2,Publishing copy,phd,separated,0,"31268 Salazar Mountains Suite 656
Martinezfurt, WA 34387",5,2,2,5,2,2
fitbit,58,True,M,16,False,2,Environmental consultant,bachelor,divorced,0,"46767 Shelton Isle
Antonioland, GU 21213",3,3,3,3,3,3
xiaomi,39,True,M,13,False,3,"Programmer, systems",phd,separated,0,"72188 Cassie Mount
Lake Shelbyfort, AS 16644",3,3,3,3,3,3
coospo,55,True,F,15,True,1,Geoscientist,master,widowed,2,"0876 Richardson Port Suite 316
Terryhaven, VT 28139",3,2,2,2,2,2
garmin,24,True,F,27,False,3,"Programmer, systems",bachelor,married,2,"1847 Jessica Isle
South Margaretstad, MA 66844",3,3,3,2,2,2
oura,27,True,M,19,False,1,Production manager,bachelor,separated,0,"PSC 8581, Box 9058
APO AE 01457",3,3,2,3,3,2
xiaomi,36,False,F,31,False,3,"Production assistant, television",school,married,1,"85637 Blake Forges
Taylorview, MA 74858",3,4,3,2,2,2
oura,39,False,F,31,False,2,"Presenter, broadcasting",bachelor,married,3,"27167 Peter Cape
East Paul, OH 57990",3,4,3,2,3,2
sony,24,True,F,28,False,1,Actor,master,single,2,"9328 Jonathan Locks
South Alexisville, NC 67765",3,3,3,2,2,2
apple,39,False,M,16,False,1,Pharmacologist,bachelor,married,2,"20900 Lee Turnpike
East Jasmine, PA 01800",3,3,3,3,3,3
fitbit,64,True,F,24,False,3,Barista,master,separated,2,"262 Mahoney Walks Apt. 184
West Laurachester, WY 18910",2,2,3,2,2,2
sony,37,False,M,21,False,2,Higher education lecturer,school,single,2,"6451 Mark Harbor
Natashaton, MA 30366",3,3,3,2,2,2
huawei,38,True,F,24,False,1,"Surveyor, minerals",phd,divorced,2,"3203 Carlson Stravenue
South Joshuamouth, WA 56739",4,5,3,4,5,3
oura,58,True,M,8,True,3,"Teacher, English as a foreign language",phd,married,0,"60572 Lin Village
Lake Amanda, DE 08604",4,3,3,2,2,2
garmin,22,True,M,18,False,3,"Engineer, land",bachelor,separated,1,"651 Travis Inlet
Michelleland, SD 74987",3,3,3,2,2,2
